Odorant,Winning probability,Reward (MU),beta (log-odds),SE,95% CI low,95% CI high,p,p (FDR within winning-probability level)
Cadaverine,0.25,120,0.924,0.431,0.08,1.769,0.0318,0.0695
Caproic acid,0.25,120,1.471,0.367,0.751,2.19,1e-04,0.0019
Citral,0.25,120,1.794,0.412,0.987,2.601,0,0.0016
Myrcene,0.25,120,-0.265,0.43,-1.107,0.577,0.5374,0.7246
Trimethylamine,0.25,120,1.393,0.464,0.484,2.303,0.0027,0.0098
Timberol,0.25,120,1.2,0.376,0.463,1.936,0.0014,0.0094
Cadaverine,0.5,120,0.346,0.333,-0.307,0.999,0.2987,0.7793
Caproic acid,0.5,120,0.615,0.299,0.029,1.201,0.0398,0.412
Citral,0.5,120,0.827,0.348,0.145,1.509,0.0175,0.3006
Myrcene,0.5,120,-0.159,0.349,-0.844,0.526,0.6494,0.9416
Trimethylamine,0.5,120,0.248,0.371,-0.48,0.975,0.5042,0.9416
Timberol,0.5,120,0.444,0.285,-0.114,1.002,0.1192,0.596
Cadaverine,0.75,120,0.26,0.305,-0.339,0.858,0.3947,0.606
Caproic acid,0.75,120,0.682,0.284,0.126,1.238,0.0161,0.214
Citral,0.75,120,0.783,0.333,0.13,1.436,0.0188,0.214
Myrcene,0.75,120,0.355,0.327,-0.285,0.995,0.2773,0.4967
Trimethylamine,0.75,120,0.521,0.359,-0.182,1.224,0.1463,0.3902
Timberol,0.75,120,0.717,0.276,0.176,1.258,0.0094,0.1874
Cadaverine,0.25,140,0.877,0.414,0.065,1.689,0.0342,0.0734
Caproic acid,0.25,140,1.404,0.356,0.707,2.101,1e-04,0.0019
Citral,0.25,140,1.677,0.4,0.892,2.462,0,0.0017
Myrcene,0.25,140,-0.243,0.417,-1.061,0.576,0.5613,0.7402
Trimethylamine,0.25,140,1.364,0.449,0.484,2.245,0.0024,0.0096
Timberol,0.25,140,1.133,0.359,0.429,1.836,0.0016,0.0094
Cadaverine,0.5,140,0.299,0.32,-0.329,0.927,0.3507,0.8653
Caproic acid,0.5,140,0.548,0.291,-0.022,1.118,0.0596,0.4579
Citral,0.5,140,0.71,0.341,0.042,1.377,0.0372,0.412
Myrcene,0.5,140,-0.136,0.339,-0.801,0.528,0.6876,0.9416
Trimethylamine,0.5,140,0.219,0.362,-0.49,0.928,0.5451,0.9416
Timberol,0.5,140,0.377,0.274,-0.159,0.914,0.1684,0.6315
Cadaverine,0.75,140,0.213,0.295,-0.365,0.79,0.4705,0.6642
Caproic acid,0.75,140,0.616,0.277,0.072,1.159,0.0264,0.214
Citral,0.75,140,0.665,0.328,0.023,1.308,0.0423,0.214
Myrcene,0.75,140,0.377,0.318,-0.246,1.001,0.2355,0.4513
Trimethylamine,0.75,140,0.492,0.352,-0.199,1.183,0.1626,0.4124
Timberol,0.75,140,0.65,0.267,0.127,1.174,0.0149,0.214
Cadaverine,0.25,160,0.83,0.398,0.049,1.611,0.0373,0.0786
Caproic acid,0.25,160,1.337,0.345,0.661,2.013,1e-04,0.0021
Citral,0.25,160,1.56,0.39,0.796,2.324,1e-04,0.0019
Myrcene,0.25,160,-0.22,0.406,-1.016,0.576,0.5878,0.7626
Trimethylamine,0.25,160,1.335,0.435,0.482,2.188,0.0022,0.0094
Timberol,0.25,160,1.066,0.343,0.394,1.737,0.0019,0.0094
Cadaverine,0.5,160,0.252,0.309,-0.353,0.856,0.415,0.9416
Caproic acid,0.5,160,0.481,0.283,-0.075,1.036,0.0897,0.498
Citral,0.5,160,0.592,0.334,-0.062,1.247,0.076,0.4802
Myrcene,0.5,160,-0.114,0.33,-0.76,0.532,0.7297,0.9416
Trimethylamine,0.5,160,0.19,0.354,-0.503,0.883,0.5914,0.9416
Timberol,0.5,160,0.31,0.264,-0.208,0.828,0.2404,0.7593
Cadaverine,0.75,160,0.165,0.285,-0.394,0.724,0.5625,0.7337
Caproic acid,0.75,160,0.549,0.272,0.016,1.082,0.0437,0.214
Citral,0.75,160,0.548,0.323,-0.085,1.182,0.0899,0.3269
Myrcene,0.75,160,0.4,0.31,-0.209,1.008,0.1979,0.4318
Trimethylamine,0.75,160,0.463,0.348,-0.218,1.144,0.1827,0.4125
Timberol,0.75,160,0.584,0.26,0.073,1.094,0.025,0.214
Cadaverine,0.25,180,0.782,0.384,0.031,1.534,0.0414,0.0842
Caproic acid,0.25,180,1.27,0.335,0.615,1.926,1e-04,0.0022
Citral,0.25,180,1.442,0.38,0.698,2.187,1e-04,0.0022
Myrcene,0.25,180,-0.198,0.395,-0.972,0.577,0.617,0.7877
Trimethylamine,0.25,180,1.306,0.422,0.479,2.133,0.002,0.0094
Timberol,0.25,180,0.999,0.327,0.357,1.641,0.0023,0.0094
Cadaverine,0.5,180,0.204,0.298,-0.38,0.789,0.4937,0.9416
Caproic acid,0.5,180,0.414,0.277,-0.129,0.957,0.135,0.5984
Citral,0.5,180,0.475,0.328,-0.168,1.118,0.1477,0.5984
Myrcene,0.5,180,-0.091,0.321,-0.721,0.538,0.7759,0.9424
Trimethylamine,0.5,180,0.161,0.347,-0.519,0.84,0.643,0.9416
Timberol,0.5,180,0.243,0.257,-0.259,0.746,0.3429,0.8653
Cadaverine,0.75,180,0.118,0.277,-0.426,0.662,0.6713,0.8028
Caproic acid,0.75,180,0.482,0.268,-0.043,1.007,0.072,0.2878
Citral,0.75,180,0.431,0.32,-0.196,1.058,0.1779,0.4125
Myrcene,0.75,180,0.422,0.304,-0.174,1.018,0.1649,0.4124
Trimethylamine,0.75,180,0.434,0.344,-0.241,1.109,0.2073,0.4364
Timberol,0.75,180,0.517,0.255,0.016,1.017,0.043,0.214
Cadaverine,0.25,200,0.735,0.369,0.011,1.459,0.0467,0.0934
Caproic acid,0.25,200,1.204,0.325,0.566,1.841,2e-04,0.0028
Citral,0.25,200,1.325,0.371,0.599,2.051,3e-04,0.0038
Myrcene,0.25,200,-0.175,0.385,-0.93,0.579,0.6492,0.795
Trimethylamine,0.25,200,1.277,0.41,0.474,2.081,0.0018,0.0094
Timberol,0.25,200,0.932,0.313,0.318,1.546,0.0029,0.0103
Cadaverine,0.5,200,0.157,0.289,-0.411,0.724,0.5882,0.9416
Caproic acid,0.5,200,0.347,0.272,-0.185,0.88,0.2012,0.6783
Citral,0.5,200,0.358,0.323,-0.276,0.992,0.2686,0.7793
Myrcene,0.5,200,-0.069,0.314,-0.684,0.546,0.8261,0.9605
Trimethylamine,0.5,200,0.132,0.342,-0.538,0.801,0.6998,0.9416
Timberol,0.5,200,0.176,0.251,-0.315,0.668,0.4817,0.9416
Cadaverine,0.75,200,0.07,0.272,-0.462,0.603,0.7956,0.8915
Caproic acid,0.75,200,0.415,0.265,-0.104,0.935,0.117,0.3661
Citral,0.75,200,0.314,0.318,-0.309,0.936,0.3233,0.5388
Myrcene,0.75,200,0.445,0.299,-0.141,1.03,0.1367,0.373
Trimethylamine,0.75,200,0.405,0.342,-0.266,1.076,0.2369,0.4513
Timberol,0.75,200,0.45,0.252,-0.045,0.945,0.0747,0.2892
Cadaverine,0.25,220,0.687,0.356,-0.011,1.386,0.0537,0.1057
Caproic acid,0.25,220,1.137,0.316,0.517,1.757,3e-04,0.0038
Citral,0.25,220,1.208,0.362,0.498,1.918,9e-04,0.0074
Myrcene,0.25,220,-0.153,0.376,-0.889,0.584,0.6845,0.8278
Trimethylamine,0.25,220,1.248,0.399,0.466,2.03,0.0018,0.0094
Timberol,0.25,220,0.865,0.3,0.277,1.453,0.0039,0.0131
Cadaverine,0.5,220,0.109,0.282,-0.444,0.663,0.6987,0.9416
Caproic acid,0.5,220,0.281,0.268,-0.244,0.805,0.2944,0.7793
Citral,0.5,220,0.241,0.32,-0.386,0.867,0.4518,0.9416
Myrcene,0.5,220,-0.046,0.307,-0.649,0.556,0.8799,0.9773
Trimethylamine,0.5,220,0.103,0.338,-0.559,0.765,0.7612,0.9424
Timberol,0.5,220,0.11,0.247,-0.375,0.594,0.6576,0.9416
Cadaverine,0.75,220,0.023,0.268,-0.502,0.548,0.9317,0.9652
Caproic acid,0.75,220,0.349,0.263,-0.167,0.864,0.1853,0.4125
Citral,0.75,220,0.196,0.316,-0.424,0.817,0.5347,0.7129
Myrcene,0.75,220,0.467,0.295,-0.111,1.045,0.1132,0.3661
Trimethylamine,0.75,220,0.376,0.342,-0.295,1.047,0.272,0.4945
Timberol,0.75,220,0.383,0.252,-0.11,0.876,0.1281,0.3661
Cadaverine,0.25,240,0.64,0.344,-0.035,1.315,0.0631,0.1183
Caproic acid,0.25,240,1.07,0.308,0.466,1.675,5e-04,0.0052
Citral,0.25,240,1.091,0.354,0.396,1.785,0.0021,0.0094
Myrcene,0.25,240,-0.13,0.367,-0.85,0.59,0.723,0.8506
Trimethylamine,0.25,240,1.219,0.389,0.457,1.981,0.0017,0.0094
Timberol,0.25,240,0.798,0.288,0.233,1.363,0.0056,0.0167
Cadaverine,0.5,240,0.062,0.277,-0.481,0.605,0.8232,0.9605
Caproic acid,0.5,240,0.214,0.265,-0.305,0.732,0.419,0.9416
Citral,0.5,240,0.123,0.317,-0.498,0.745,0.6974,0.9416
Myrcene,0.5,240,-0.024,0.302,-0.617,0.569,0.9367,0.9844
Trimethylamine,0.5,240,0.074,0.336,-0.584,0.731,0.8265,0.9605
Timberol,0.5,240,0.043,0.246,-0.439,0.524,0.8622,0.976
Cadaverine,0.75,240,-0.024,0.266,-0.545,0.496,0.9267,0.9652
Caproic acid,0.75,240,0.282,0.263,-0.233,0.796,0.2832,0.4998
Citral,0.75,240,0.079,0.316,-0.541,0.699,0.8023,0.8915
Myrcene,0.75,240,0.49,0.292,-0.083,1.063,0.0939,0.3292
Trimethylamine,0.75,240,0.347,0.344,-0.327,1.02,0.3128,0.5287
Timberol,0.75,240,0.316,0.253,-0.18,0.812,0.2119,0.4383
Cadaverine,0.25,260,0.593,0.334,-0.061,1.247,0.0757,0.1376
Caproic acid,0.25,260,1.003,0.301,0.413,1.594,9e-04,0.0074
Citral,0.25,260,0.973,0.348,0.292,1.655,0.0051,0.0157
Myrcene,0.25,260,-0.108,0.36,-0.813,0.597,0.7646,0.8822
Trimethylamine,0.25,260,1.19,0.38,0.445,1.934,0.0017,0.0094
Timberol,0.25,260,0.731,0.278,0.186,1.277,0.0085,0.0239
Cadaverine,0.5,260,0.015,0.274,-0.522,0.551,0.9577,0.9844
Caproic acid,0.5,260,0.147,0.263,-0.368,0.662,0.5757,0.9416
Citral,0.5,260,0.006,0.316,-0.613,0.625,0.9846,0.9929
Myrcene,0.5,260,-0.002,0.299,-0.587,0.584,0.9959,0.9959
Trimethylamine,0.5,260,0.045,0.335,-0.612,0.701,0.8943,0.9773
Timberol,0.5,260,-0.024,0.247,-0.508,0.459,0.9218,0.9844
Cadaverine,0.75,260,-0.072,0.266,-0.593,0.449,0.7871,0.891
Caproic acid,0.75,260,0.215,0.263,-0.301,0.731,0.4141,0.606
Citral,0.75,260,-0.038,0.317,-0.66,0.584,0.9046,0.9607
Myrcene,0.75,260,0.512,0.291,-0.058,1.083,0.0785,0.2944
Trimethylamine,0.75,260,0.318,0.347,-0.362,0.997,0.3593,0.5713
Timberol,0.75,260,0.249,0.257,-0.254,0.753,0.3319,0.5396
Cadaverine,0.25,280,0.545,0.324,-0.09,1.181,0.0927,0.166
Caproic acid,0.25,280,0.937,0.295,0.358,1.515,0.0015,0.0094
Citral,0.25,280,0.856,0.342,0.186,1.526,0.0122,0.0319
Myrcene,0.25,280,-0.085,0.353,-0.777,0.607,0.8093,0.8988
Trimethylamine,0.25,280,1.161,0.372,0.431,1.89,0.0018,0.0094
Timberol,0.25,280,0.665,0.27,0.136,1.193,0.0137,0.035
Cadaverine,0.5,280,-0.033,0.272,-0.567,0.501,0.904,0.9773
Caproic acid,0.5,280,0.08,0.262,-0.434,0.594,0.7595,0.9424
Citral,0.5,280,-0.111,0.315,-0.729,0.507,0.7246,0.9416
Myrcene,0.5,280,0.021,0.296,-0.559,0.601,0.9436,0.9844
Trimethylamine,0.5,280,0.015,0.336,-0.644,0.675,0.9633,0.9844
Timberol,0.5,280,-0.091,0.25,-0.58,0.398,0.7152,0.9416
Cadaverine,0.75,280,-0.119,0.268,-0.645,0.406,0.6566,0.8028
Caproic acid,0.75,280,0.148,0.265,-0.371,0.668,0.5762,0.7434
Citral,0.75,280,-0.155,0.32,-0.782,0.471,0.6271,0.7892
Myrcene,0.75,280,0.535,0.291,-0.036,1.105,0.0664,0.2747
Trimethylamine,0.75,280,0.289,0.351,-0.4,0.977,0.411,0.606
Timberol,0.75,280,0.182,0.263,-0.332,0.697,0.4874,0.68
Cadaverine,0.25,300,0.498,0.316,-0.122,1.118,0.1156,0.201
Caproic acid,0.25,300,0.87,0.29,0.302,1.438,0.0027,0.0098
Citral,0.25,300,0.739,0.337,0.079,1.399,0.0282,0.0651
Myrcene,0.25,300,-0.063,0.348,-0.744,0.619,0.8567,0.9179
Trimethylamine,0.25,300,1.132,0.366,0.415,1.849,0.002,0.0094
Timberol,0.25,300,0.598,0.263,0.082,1.113,0.023,0.0541
Cadaverine,0.5,300,-0.08,0.273,-0.616,0.455,0.7688,0.9424
Caproic acid,0.5,300,0.013,0.263,-0.502,0.529,0.9591,0.9844
Citral,0.5,300,-0.228,0.316,-0.848,0.391,0.4702,0.9416
Myrcene,0.5,300,0.043,0.295,-0.534,0.621,0.883,0.9773
Trimethylamine,0.5,300,-0.014,0.339,-0.678,0.651,0.968,0.9844
Timberol,0.5,300,-0.158,0.255,-0.658,0.342,0.5354,0.9416
Cadaverine,0.75,300,-0.167,0.273,-0.701,0.367,0.5408,0.7132
Caproic acid,0.75,300,0.081,0.268,-0.444,0.607,0.7614,0.8871
Citral,0.75,300,-0.273,0.323,-0.906,0.361,0.3988,0.606
Myrcene,0.75,300,0.557,0.293,-0.017,1.131,0.057,0.2534
Trimethylamine,0.75,300,0.26,0.357,-0.441,0.96,0.4673,0.6642
Timberol,0.75,300,0.115,0.27,-0.414,0.645,0.6691,0.8028
Cadaverine,0.25,320,0.45,0.31,-0.157,1.058,0.1462,0.2437
Caproic acid,0.25,320,0.803,0.286,0.243,1.363,0.005,0.0157
Citral,0.25,320,0.622,0.333,-0.031,1.274,0.0618,0.1177
Myrcene,0.25,320,-0.04,0.343,-0.713,0.632,0.9065,0.9542
Trimethylamine,0.25,320,1.103,0.361,0.395,1.81,0.0023,0.0094
Timberol,0.25,320,0.531,0.258,0.025,1.037,0.0398,0.0823
Cadaverine,0.5,320,-0.128,0.276,-0.668,0.413,0.6434,0.9416
Caproic acid,0.5,320,-0.053,0.265,-0.572,0.465,0.8404,0.9605
Citral,0.5,320,-0.346,0.318,-0.969,0.278,0.2774,0.7793
Myrcene,0.5,320,0.066,0.295,-0.512,0.644,0.8233,0.9605
Trimethylamine,0.5,320,-0.043,0.343,-0.716,0.63,0.9012,0.9773
Timberol,0.5,320,-0.225,0.262,-0.739,0.289,0.391,0.9201
Cadaverine,0.75,320,-0.214,0.279,-0.76,0.332,0.4425,0.6397
Caproic acid,0.75,320,0.015,0.272,-0.519,0.549,0.9571,0.9652
Citral,0.75,320,-0.39,0.327,-1.031,0.252,0.2338,0.4513
Myrcene,0.75,320,0.579,0.296,0,1.159,0.0499,0.2303
Trimethylamine,0.75,320,0.231,0.365,-0.484,0.946,0.5271,0.7107
Timberol,0.75,320,0.049,0.28,-0.499,0.597,0.8621,0.932
Cadaverine,0.25,340,0.403,0.305,-0.195,1.002,0.1869,0.3031
Caproic acid,0.25,340,0.736,0.283,0.182,1.29,0.0092,0.0251
Citral,0.25,340,0.504,0.33,-0.142,1.151,0.1263,0.2134
Myrcene,0.25,340,-0.018,0.34,-0.684,0.648,0.9581,0.9744
Trimethylamine,0.25,340,1.074,0.358,0.373,1.775,0.0027,0.0098
Timberol,0.25,340,0.464,0.255,-0.037,0.965,0.0694,0.1281
Cadaverine,0.5,340,-0.175,0.28,-0.725,0.375,0.5324,0.9416
Caproic acid,0.5,340,-0.12,0.268,-0.645,0.405,0.6538,0.9416
Citral,0.5,340,-0.463,0.321,-1.093,0.167,0.1496,0.5984
Myrcene,0.5,340,0.088,0.297,-0.493,0.67,0.7658,0.9424
Trimethylamine,0.5,340,-0.072,0.349,-0.756,0.613,0.8373,0.9605
Timberol,0.5,340,-0.292,0.271,-0.823,0.24,0.2821,0.7793
Cadaverine,0.75,340,-0.261,0.287,-0.823,0.3,0.3618,0.5713
Caproic acid,0.75,340,-0.052,0.278,-0.597,0.492,0.8512,0.9285
Citral,0.75,340,-0.507,0.333,-1.159,0.145,0.1276,0.3661
Myrcene,0.75,340,0.602,0.3,0.015,1.189,0.0446,0.214
Trimethylamine,0.75,340,0.202,0.374,-0.53,0.934,0.5894,0.7524
Timberol,0.75,340,-0.018,0.291,-0.588,0.551,0.9498,0.9652
Cadaverine,0.25,360,0.356,0.303,-0.237,0.949,0.2397,0.3688
Caproic acid,0.25,360,0.669,0.281,0.119,1.22,0.0171,0.0419
Citral,0.25,360,0.387,0.328,-0.256,1.03,0.238,0.3688
Myrcene,0.25,360,0.005,0.338,-0.657,0.666,0.9891,0.9891
Trimethylamine,0.25,360,1.045,0.356,0.347,1.742,0.0033,0.0114
Timberol,0.25,360,0.397,0.255,-0.103,0.897,0.1195,0.2048
Cadaverine,0.5,360,-0.222,0.287,-0.785,0.34,0.4381,0.9416
Caproic acid,0.5,360,-0.187,0.272,-0.72,0.346,0.492,0.9416
Citral,0.5,360,-0.58,0.325,-1.218,0.058,0.0746,0.4802
Myrcene,0.5,360,0.111,0.299,-0.476,0.698,0.7114,0.9416
Trimethylamine,0.5,360,-0.101,0.357,-0.8,0.598,0.7775,0.9424
Timberol,0.5,360,-0.359,0.282,-0.911,0.194,0.2035,0.6783
Cadaverine,0.75,360,-0.309,0.296,-0.89,0.272,0.2973,0.5168
Caproic acid,0.75,360,-0.119,0.284,-0.676,0.438,0.6757,0.8028
Citral,0.75,360,-0.624,0.339,-1.289,0.04,0.0656,0.2747
Myrcene,0.75,360,0.624,0.305,0.026,1.222,0.0407,0.214
Trimethylamine,0.75,360,0.173,0.384,-0.579,0.924,0.6528,0.8028
Timberol,0.75,360,-0.085,0.303,-0.679,0.509,0.7787,0.89
Cadaverine,0.25,380,0.308,0.301,-0.283,0.899,0.3064,0.4597
Caproic acid,0.25,380,0.603,0.28,0.054,1.151,0.0314,0.0695
Citral,0.25,380,0.27,0.327,-0.372,0.911,0.4096,0.5783
Myrcene,0.25,380,0.027,0.337,-0.633,0.687,0.9359,0.9668
Trimethylamine,0.25,380,1.016,0.356,0.319,1.712,0.0043,0.0139
Timberol,0.25,380,0.33,0.257,-0.173,0.833,0.1983,0.3173
Cadaverine,0.5,380,-0.27,0.295,-0.848,0.309,0.3605,0.8653
Caproic acid,0.5,380,-0.254,0.277,-0.797,0.29,0.3604,0.8653
Citral,0.5,380,-0.697,0.33,-1.345,-0.05,0.0348,0.412
Myrcene,0.5,380,0.133,0.304,-0.462,0.728,0.6607,0.9416
Trimethylamine,0.5,380,-0.13,0.365,-0.846,0.586,0.7223,0.9416
Timberol,0.5,380,-0.425,0.294,-1.002,0.151,0.1482,0.5984
Cadaverine,0.75,380,-0.356,0.307,-0.959,0.246,0.2467,0.4625
Caproic acid,0.75,380,-0.186,0.292,-0.757,0.386,0.5242,0.7107
Citral,0.75,380,-0.742,0.346,-1.42,-0.063,0.0323,0.214
Myrcene,0.75,380,0.647,0.312,0.036,1.258,0.038,0.214
